	s__Fusobacterium_nucleatum	s__Prevotella_intermedia	s__Dialister_pneumosintes	s__Parvimonas_micra	s__Bacteroides_vulgatus	s__Mock_Bacterium_6	s__Mock_Bacterium_7	s__Mock_Bacterium_8	s__Mock_Bacterium_9	s__Mock_Bacterium_10	s__Mock_Bacterium_11	s__Mock_Bacterium_12	s__Mock_Bacterium_13	s__Mock_Bacterium_14	s__Mock_Bacterium_15	s__Mock_Bacterium_16	s__Mock_Bacterium_17	s__Mock_Bacterium_18	s__Mock_Bacterium_19	s__Mock_Bacterium_20	s__Mock_Bacterium_21	s__Mock_Bacterium_22	s__Mock_Bacterium_23	s__Mock_Bacterium_24	s__Mock_Bacterium_25	s__Mock_Bacterium_26	s__Mock_Bacterium_27	s__Mock_Bacterium_28	s__Mock_Bacterium_29	s__Mock_Bacterium_30	s__Mock_Bacterium_31	s__Mock_Bacterium_32	s__Mock_Bacterium_33	s__Mock_Bacterium_34	s__Mock_Bacterium_35	s__Mock_Bacterium_36	s__Mock_Bacterium_37	s__Mock_Bacterium_38	s__Mock_Bacterium_39	s__Mock_Bacterium_40	s__Mock_Bacterium_41	s__Mock_Bacterium_42	s__Mock_Bacterium_43	s__Mock_Bacterium_44	s__Mock_Bacterium_45	s__Mock_Bacterium_46	s__Mock_Bacterium_47	s__Mock_Bacterium_48	s__Mock_Bacterium_49	s__Mock_Bacterium_50	s__Mock_Bacterium_51	s__Mock_Bacterium_52	s__Mock_Bacterium_53	s__Mock_Bacterium_54	s__Mock_Bacterium_55	s__Mock_Bacterium_56	s__Mock_Bacterium_57	s__Mock_Bacterium_58	s__Mock_Bacterium_59	s__Mock_Bacterium_60	s__Mock_Bacterium_61	s__Mock_Bacterium_62	s__Mock_Bacterium_63	s__Mock_Bacterium_64	s__Mock_Bacterium_65	s__Mock_Bacterium_66	s__Mock_Bacterium_67	s__Mock_Bacterium_68	s__Mock_Bacterium_69	s__Mock_Bacterium_70	s__Mock_Bacterium_71	s__Mock_Bacterium_72	s__Mock_Bacterium_73	s__Mock_Bacterium_74	s__Mock_Bacterium_75	s__Mock_Bacterium_76	s__Mock_Bacterium_77	s__Mock_Bacterium_78	s__Mock_Bacterium_79	s__Mock_Bacterium_80	s__Mock_Bacterium_81	s__Mock_Bacterium_82	s__Mock_Bacterium_83	s__Mock_Bacterium_84	s__Mock_Bacterium_85	s__Mock_Bacterium_86	s__Mock_Bacterium_87	s__Mock_Bacterium_88	s__Mock_Bacterium_89	s__Mock_Bacterium_90	s__Mock_Bacterium_91	s__Mock_Bacterium_92	s__Mock_Bacterium_93	s__Mock_Bacterium_94	s__Mock_Bacterium_95	s__Mock_Bacterium_96	s__Mock_Bacterium_97	s__Mock_Bacterium_98	s__Mock_Bacterium_99	s__Mock_Bacterium_100	s__Mock_Bacterium_101	s__Mock_Bacterium_102	s__Mock_Bacterium_103	s__Mock_Bacterium_104	s__Mock_Bacterium_105	s__Mock_Bacterium_106	s__Mock_Bacterium_107	s__Mock_Bacterium_108	s__Mock_Bacterium_109	s__Mock_Bacterium_110	s__Mock_Bacterium_111	s__Mock_Bacterium_112	s__Mock_Bacterium_113	s__Mock_Bacterium_114	s__Mock_Bacterium_115	s__Mock_Bacterium_116	s__Mock_Bacterium_117	s__Mock_Bacterium_118	s__Mock_Bacterium_119	s__Mock_Bacterium_120	s__Mock_Bacterium_121	s__Mock_Bacterium_122	s__Mock_Bacterium_123	s__Mock_Bacterium_124	s__Mock_Bacterium_125	s__Mock_Bacterium_126	s__Mock_Bacterium_127	s__Mock_Bacterium_128	s__Mock_Bacterium_129	s__Mock_Bacterium_130	s__Mock_Bacterium_131	s__Mock_Bacterium_132	s__Mock_Bacterium_133	s__Mock_Bacterium_134	s__Mock_Bacterium_135	s__Mock_Bacterium_136	s__Mock_Bacterium_137	s__Mock_Bacterium_138	s__Mock_Bacterium_139	s__Mock_Bacterium_140	s__Mock_Bacterium_141	s__Mock_Bacterium_142	s__Mock_Bacterium_143	s__Mock_Bacterium_144	s__Mock_Bacterium_145	s__Mock_Bacterium_146	s__Mock_Bacterium_147	s__Mock_Bacterium_148	s__Mock_Bacterium_149	s__Mock_Bacterium_150
Sample_001	0.01064387025045776	0.0029892641539397105	0.0	0.0	0.0	0.0	0.09275684396175303	0.0	0.0015412705137566249	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0739103886302837	0.0	0.004511421383371424	0.0	0.0013268270403990145	0.0	0.00039438357693614095	0.0	0.0011856349777293496	0.0	0.0	0.16015021621196932	0.0	0.0	0.0	0.00034296343436577816	0.005985159850083704	0.0	0.0002767014254203745	0.0	0.0	0.005552745107690508	0.0031275792173259473	0.0021583595507663525	0.0	0.0	0.0	0.0	0.0	0.0001159583210619543	0.007536243104813858	0.0	0.0	0.013395360756059977	0.0	0.025383924890048443	0.0	0.0	0.007645236085232909	0.0	0.0	0.0	0.0004312298264761235	0.0003602859017952928	0.0	0.0	0.0034128086862692426	0.0	0.008124042760564245	0.0	0.0	0.08542416215793758	0.0	0.09009306293730755	0.0	0.0	0.004691019768973613	0.0	0.004735453083183264	0.0	0.002540121923916873	0.008050876762685327	0.0	0.0013979619423957876	0.0007823669924691589	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0009679737298493534	0.0	0.0017991953745654138	0.0	0.0	0.006643682488861994	0.0	0.0	0.0	0.0	0.0	0.0007921546181001108	0.0	0.008843277543068654	0.17138760023323135	0.0	0.0	0.0033962233185017	8.492501625744181e-05	0.0	0.0	0.0	0.0	0.0	0.0036771291214674246	0.0	0.038752740897071106	0.017732904454121283	0.0	0.0	0.06517946588847777	0.00023879585183517215	0.01274666979190699	0.0	0.0	0.0	0.0	0.001439944467867086	0.0	0.004520767619316643	0.0	0.010162868331161624	0.0006266966850035431	0.0	0.0008228752021122207	0.0	0.0	0.00033615840866032756	0.006211955404319706	0.0	0.0	0.005702037540207841	0.006628121598589261	0.0	0.00033209122800612143	0.0	0.0	0.0
Sample_002	0.0	0.0008092685090598765	0.0	0.0006440277013782245	0.0	9.698259305581945e-05	0.01689517517774339	0.001044089181036743	3.736099893209926e-05	0.0	5.76200734833331e-05	0.0019535500852749816	0.0	7.840358934077987e-05	0.0	0.0	0.002095096022445365	0.0	0.00024775939986382376	0.0	0.0	0.0	0.0	0.0008007415974249907	0.0	0.0	0.0	0.0	0.00023839302541264553	0.0	0.0014145532572219204	7.288765131744003e-05	4.753419511978458e-05	0.0010622867512046117	0.0	0.0	0.0010428468358145181	0.00034987520022314387	7.441420933453947e-05	1.9561041234704922e-05	0.0	0.0	0.000621056359391979	3.350708094526737e-05	0.0	0.0008746896212663643	0.0	0.0	0.00045470633014135575	4.115287330175555e-05	0.0	0.0	0.0	0.003330369205960939	0.0	6.202789886885956e-05	0.0011337714035967398	0.001130942061629844	0.0	0.8986935051928775	0.0	0.0	0.0	0.0	0.00021544288856039357	0.0	0.0	0.00025204235075422754	0.0	0.00047674541354967355	0.0	0.0	0.0015967965199562906	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.39254217735453e-05	0.0	0.0	0.0	0.02946983639299322	0.0014380918217835332	7.049446986417005e-06	0.0005876567241529004	0.0	0.0	8.294625505112512e-05	0.00032174569372992986	0.0	0.0	3.669503762381115e-05	0.00020731344473154625	0.0	0.00010957134397797281	0.0	0.0	0.0	0.0	0.0	0.003191240100650332	0.0	0.0	0.0	0.0	0.0009832596264581642	0.0019055052057654004	6.339426514739983e-05	0.0003593093200670415	0.0	0.0	0.00024422698094005884	3.337035668471708e-05	0.010594146952284287	2.3172160727668318e-05	0.00016786253023513535	0.0	0.0	2.2908546328621853e-05	0.004144601196240483	0.0	0.0	0.0	0.0	0.00012185119547997991	0.0	0.0	0.0	0.0015215665292318337	0.0	0.0	0.0	0.0	0.0	0.0	0.00070996670948712	0.0	0.0	0.0001509928487017013	0.0	0.002213739706893813	0.0	0.0	0.002446549873773625	0.000748322015374658	0.0	0.0
Sample_003	0.0	0.0009534662195792187	0.013030568343472528	0.0	0.0	0.0	0.0	0.0	0.0	0.0019509676751277901	0.0018914588158072331	0.026318299665217457	0.0	0.0	0.03979210048519984	0.0	0.011434290058632094	0.0	0.0	0.0	0.0	0.00961212044882435	0.0	0.0	0.0	0.0002577754485322987	0.0	0.0	0.0	0.0	0.0	0.0004858778884619207	0.0	0.0	0.02055183568820762	0.0	0.0	0.0	0.0	0.000946732868337742	0.000564547929366107	0.0047592268138976915	0.004771419931813835	0.0	0.0	0.0	0.0	0.0001751317465723203	0.000694767762111905	0.0	0.0	0.0	0.0	0.0	0.0	0.00039362841207275735	0.0028170339088036357	0.0	0.0	0.0	0.00825982851558983	0.06268916489513573	0.002351822362642671	0.0	0.011623149795530054	0.0	0.0	0.0	0.0	0.0006229376971934425	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23329801355659704	0.0	0.0	0.0	4.1790733500892144e-05	0.001021427087292334	0.0	0.0	0.005790523775393515	0.12459300640936319	0.019561404649651483	0.0009221046917699633	0.0004847516676268355	0.0	0.0	0.11393502499451566	0.030925807807874277	0.0	9.503041695337533e-05	0.0	0.0	0.03475569425213584	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0021988881098000787	0.0037184319530882827	0.0	0.01213314002920003	0.0	0.0	0.0	0.0056822019335596545	0.0006542522653244822	0.0	0.0	0.0	0.0	0.0	0.0	0.0017767440449259415	0.0	0.0106276882777143	0.04514926104558072	0.0	0.011528401865132489	0.024277737343422805	0.0	0.0	4.9501438089833025e-05	0.0	0.0	0.0	0.0033902387913915992	0.07593987351060522	0.00018498285785889494	0.0	0.0	0.0	0.002738256220217551	0.0	0.0	0.0	0.0	0.006085490250256524	0.00044617288183200574	0.0010460037631951527	0.0
Sample_004	0.001126248510612523	0.008623879513998534	0.0	0.0034985319340589114	0.0	0.0002614544331520378	0.0010306500113197263	0.00016101878516130766	0.0	0.0	0.0	0.0	0.00031499433831226023	0.001958561398762229	0.0010197875310170056	0.0	0.0043604872344683715	0.005808171597730723	0.0004418645494110939	0.0	0.0	0.0	6.165926835802114e-05	0.019648459473451254	0.034267104073345565	0.0	0.0	0.0023791676774042618	0.6030571805207999	0.011981936510697736	0.0009884820642900682	0.0	5.137301530422553e-05	0.001917798040109645	0.0	0.0	0.0	0.0	0.037282858828848	0.0	0.0	0.0	0.0	0.0	0.026856249679159505	0.0	0.0	0.0	0.0	0.0	0.0	0.058153361401544576	7.785674483618873e-05	0.0	0.0	0.00048190881396496837	0.0003904179502319475	0.0	0.0014067662883090787	0.0002422827537949837	0.002192766642521657	0.0	0.0	0.0	0.0004028092077331302	0.005783637752774328	0.0	0.00018071029908076037	0.0015572399834289687	0.0057375061587057	4.529493059332029e-05	0.003784715756892345	0.0	0.0039966149456195236	0.0002774074510839408	0.0	0.0	0.0014055382076504058	0.0	0.0002092170920532211	0.0	0.0	0.0	0.0	0.0003466561843066201	0.0	0.0	0.0	0.0	0.0	0.00679124733308993	0.0	0.0	0.0	0.0	0.0	0.0	0.000850576971279522	0.002681944654653842	0.0003814711813887352	0.0	0.0	0.0	0.0021235560991230006	0.0025079250205357942	0.0	0.0	0.0005374787935688839	0.002809916272987435	0.000550065146501637	0.002279144414742595	0.08104884514010721	0.0	0.0006651141078593102	0.014107100418085605	0.0005644517663286674	0.0	0.0	0.0	0.0	0.001324569048917725	0.0	0.0	0.0008236985482073556	0.0	0.0	0.0	0.0059654279103238915	0.0	0.01257560075332741	0.0	0.000556367948492178	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003327462673182579	0.0024882374604587175	0.0	0.0	0.0007441598102205275	0.0	0.0005250109717187625	0.0
Sample_005	0.01095688539954509	0.0	0.013724776034323757	0.0	0.005511631268932494	0.0	0.0	0.00020002386838020386	0.0	0.04804218369513028	0.0	0.00215722244075047	0.0	0.00025385621228332704	0.3210172269505791	0.0	0.0030005044309359278	0.010293617847860153	0.0	0.0037725790945641736	0.0	0.006189953306186953	0.0	0.0	0.0	0.0	0.0003331312203392812	0.0018746406519657196	0.0	0.0	8.168062686905602e-05	0.0	0.0	0.0	0.0	0.0	0.012507544182980397	0.0	0.00018269613503793725	0.0	0.0	0.06789985367451766	0.0	0.0	0.001474773916061502	0.0	1.0956937552343166e-05	0.0	0.001519105642434354	0.0	0.0	0.02294547818377997	0.001408060813007228	0.0	0.0	0.0	0.0024789855220424817	0.00229731409267634	0.003582856368226953	0.0	0.000765418003337549	0.0	0.0	0.0	0.0005794356094316081	0.0029827666753464107	0.0	0.04881203035447693	1.2010802956270833e-05	0.0	0.0	3.812863761143097e-05	0.0012148439603000473	0.0	0.0	0.0	0.0	0.08020065771839384	0.0	0.030664358491213434	0.0	0.0	0.0	0.0064156476484777455	0.0	0.010034083917219369	0.0	0.0	0.0	0.0	0.0011712347068079858	0.0	0.00027744409481135756	0.0	0.0	0.0	0.0	0.0001974566280038392	0.015302938478604847	0.0	0.0	0.019648662712243876	0.0005893726858106228	0.0001441455445566418	0.0	0.0	0.00018621229670316052	0.0806064920615158	0.0	0.071729605156904	0.0036767373283824885	0.0	0.0	0.0	0.0	0.02190236436795638	0.0	0.003256309021281666	0.001165052796111395	0.0	0.0	7.883912017837457e-05	0.0001626133445809648	0.010660219579892232	0.0	0.0	0.0	0.004831486767675945	0.0	0.0005083329555265092	0.0	0.00034069939629861	0.005454802102261107	0.0	0.01888375641565251	0.0	0.0	0.0	0.0	0.0	6.0703274684733135e-05	0.00018653001686666593	0.0	0.002540022474934588	0.0067890354019289525	0.0005646795949146835	0.0035026658777543044	0.0	0.0	0.00014466546142800484
Sample_006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002686160611735659	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004547933197912618	0.0	0.0	0.0	0.06963990570041462	0.007644179554602791	0.0006026052699418681	0.0	0.0	0.0	8.029814212463598e-05	0.0	0.001131340681997803	0.0015993123995641876	0.006422354788298702	0.0	0.0001284458232349013	0.0	0.0	0.0	0.01611905473213779	0.0	0.0	0.0	6.697196217155892e-05	0.004382753075892419	0.0028117751760401662	0.0	0.0	0.0	0.0	0.0017148581007221035	0.0	0.0	0.0	0.012121833605202572	0.0	0.0	0.0007363056710057006	0.0	0.0010000964025134774	0.0	0.0007124421247763381	0.0	0.0	0.0012772347079002394	0.0	0.0	0.0	0.014616188615813755	0.0	0.003166228641211611	0.01099787680071553	0.002188045376954966	0.0	0.0	0.031097751737567382	0.0	0.0	0.0	0.0	0.0	0.0	0.0008009690359621426	0.0	0.0	0.0	0.0	0.0	0.0017316433484560816	0.0029649794746441304	0.0	0.0	0.0	0.0012098095570496077	0.0016812090807752234	0.007156919343791869	0.0	0.003987881498631132	0.0	0.0	0.003309436498065971	0.2519022019349213	0.0	0.0	0.0	0.0	0.0	0.020014834167903603	0.03179945466640955	0.0005927088712999209	0.0003512452781534205	0.0	0.0006150784589663731	0.0	0.0	0.0	0.0	0.0673697423791491	0.0005449088553664435	0.0	0.0032876447477029848	0.0	0.006927709160973861	0.0	0.0	0.0	0.0001176315718749095	0.0	0.0017370472675358416	0.0	0.0006591646329695357	0.002903789325693445	0.0	0.0	0.29070397941568393	0.0006419165930907363	0.0006973706432221084	0.0	0.0	0.07457872629826504	0.0	0.0	0.0	0.017044844897687584	0.00957738899364854	0.0	0.0	0.0	0.0	0.0	0.0013287046020341608	0.0	0.0	0.00036224637773951945
Sample_007	0.0	0.0	0.0	0.0	0.004052574485800892	0.0	0.0	0.012300763709860106	0.010055528481425277	0.0	0.0	0.004286432808868169	0.0	0.06484895380890328	0.002285450485328281	0.004831694673330261	0.0	0.0	0.0011323407943221158	0.0	0.0	0.0	0.0	0.0006817533037733	0.0	0.00013143805658386734	0.0	0.0	0.0	0.0024245688056671114	0.0009109704357645894	0.0	0.00015276208280839276	0.0	0.006667087572284717	0.0010131312372380732	0.00035868474797392375	0.0114028932063014	0.0	0.0	0.0	0.0	0.010150841155795846	0.0	0.11109972381448553	0.0	0.0	0.0006930439089414603	0.0	0.004498900876493363	0.0	0.00559159742810334	0.0	0.0	0.0023463287248715187	0.025835406131098543	0.0	0.0	0.0	0.0	0.010000146454772268	0.039466778953913643	0.0	0.0	0.0023110057746467596	0.0	0.0007148872897055268	0.0	0.002551900351086442	0.0	0.0035728480414307043	0.0	0.0	0.0007496913128995415	0.0	0.0	0.0	0.0	0.00011640830140184811	0.01265412856773337	0.0	0.006475781803815355	0.0	0.0025136390059094763	0.0	0.0	0.0	0.0	0.0	0.0	0.004195111146339838	0.0	0.001686743005167421	0.0	0.00037303396624661055	0.0015761003020716867	0.10073842161910095	0.009962618525032068	0.0008823171025078696	0.0	0.04541602842736022	0.0	0.0	0.0	0.011174125091609519	0.0	0.0	0.0	0.022561832457125192	0.0	0.0	0.0	0.17550647975047684	0.0006968246921681866	0.08903965434669195	0.004108162242452132	0.0	0.0010506221899386275	0.0	0.0	0.0	0.0	0.0026338457332077095	0.0	0.08755267032434627	0.0	0.0	0.0	0.00943277346377348	0.0003575675757020474	0.0	0.0	0.0	0.01009001275042731	0.001052092769149956	0.0	0.00023826373052205876	0.0	0.0	0.022451351747672675	0.0	0.0	0.0	0.0	0.0019579531547035257	0.016191300528759667	0.010194006764107902	0.0	0.0	0.0
Sample_008	0.0	0.004321932931219467	0.005260131601107111	0.0	0.000651476056394362	0.0005111199079498496	0.0	0.02044122533861394	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002086193214802153	0.00014700814606233216	0.019960378783850808	0.0	0.0	0.0	0.0	0.0	0.00015048546533801577	0.014362624506358551	0.0007294842559474979	0.0	0.0	0.03939406830603154	0.0	0.0	0.0	0.0	0.0	0.004203706253835205	0.0046282506506766415	0.0	0.0	0.0011665041632136122	0.0	0.0	0.0	0.0	0.002172736525455014	0.008477162877777585	0.0	0.0	0.0	0.0	0.003916007441271609	0.014412788356902155	0.0	0.1275929454135305	0.001481294572788684	0.017965644703604566	0.0	0.0	0.00023817836499233152	0.0	0.09003138941726366	0.0013374046019058474	0.0030251522459393957	0.0	0.00527753666976967	0.0	0.004063390314670609	0.0	0.0	0.00292792437197796	0.0	0.0	0.021034338820840253	0.0	0.00019910675269933418	0.0	0.0001977809620430179	0.003587180807366982	0.0	0.0	0.0	0.0	0.0	0.04937865329210792	0.0	0.0	0.013467373865294889	0.0	0.0	0.0	0.0	0.0010800082352872902	0.030676880714886834	0.0	0.0	0.0	0.0	0.00021861250483340728	0.0	0.0	0.0	0.0002696342074339169	2.6392258403792457e-05	0.0005456225611175266	0.00013888848782003221	0.0	0.0	0.0	0.17714476573242366	0.013952052737398607	0.0	1.3210864012370717e-05	0.1913263900918656	0.0001215962364185804	0.0	0.01513842989843956	0.0	0.031206965094646776	0.0060491266920242445	0.0	0.010793313161392384	0.008934791853157606	0.0	0.0	0.0	0.0004335129957103489	0.0011171105876612716	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00027058727214067233	0.012853781511112381	0.0002744793869354341	0.001249607338916997	0.0	0.0	0.0	0.00013588378009101492	0.0005882286095984468	0.0037123293672094524	8.095257464664306e-05	0.004725839178133774	0.0	0.0	0.0	0.0
Sample_009	0.0034052463671966674	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00016035867444295581	0.0	0.00022027947794361604	0.0006630253134447325	0.000630056207757423	0.015874547494889094	0.0	0.0	0.0	0.0	0.0004986624723096986	0.1934785283612438	0.0	0.0	0.0	0.00606458722245468	0.001829957913441093	0.0020446505337661488	0.0028935705679757934	0.0	0.0	0.0	0.0	0.00017123169930313088	0.0	0.4614099736349827	0.0	0.0	0.0	0.0	0.008271653632382464	0.0	0.0012418631648954302	0.0017642180587566145	0.0	0.00034831599654955514	0.0	0.00022923393484802998	0.0028378173635638807	0.000568315716432451	0.0	0.0	0.0	0.0	4.9163539419604704e-05	0.00560120316703321	0.0	0.0	0.0	0.0	0.0	0.0	0.00809723067518956	0.0	0.0	0.0004204293197374006	0.0	0.00015683504298901594	0.0021221212191800606	0.0004347661421510394	0.0	0.0	0.02351147329704887	0.008963354365159566	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0014285148780920698	0.0	0.001954097819381584	0.01092534849798386	0.0	0.0005503996464076147	0.00018496334273963963	0.0	0.0	0.0	3.576044446367774e-05	0.0057662704090823335	0.0	0.0026188268835867197	0.0	0.0	0.0021751311897376	0.0	0.0014833739628901206	0.004525159903730287	0.005044325250198744	0.0	0.019277777069261915	0.0018681502549374506	0.0	0.0	0.0	0.0028045149508200014	0.0026029106325368644	0.0	0.006850110283904251	0.0	0.013604503595122707	0.0	0.0	0.0	0.0	0.00031494443897320343	0.0	0.0	0.0	0.0	0.00764654410614919	0.0023022127602267102	0.0	0.0	0.0	0.0004050266136118019	0.0019871335531658385	0.00023585897893190123	0.008799771420618345	0.05662043434661262	0.030337725061598365	0.0	0.0	0.0	0.0	0.0007772936742718634	0.0	0.0	0.0	0.0	0.0	0.006351840578059718	0.028678876341503366	0.01770729244207649	0.0	0.0	0.0	0.00017223609283500776	0.0
Sample_010	0.0	0.0001002738870085452	0.0	0.0	0.0	0.0	0.0	0.0	0.0001913382969983566	0.005316582703216138	0.0	0.011736385730431075	0.0	0.0	0.0	0.00268331175825254	0.0	0.000569825554480875	0.0015182318573285433	0.0	0.0026070486303444115	0.11301582675299265	0.0	0.0	0.06985708857459119	0.0024241078361484187	0.0	0.0	0.0	0.0	0.0	0.0013885889561647952	0.2755384917796593	0.0	0.01625339243795364	0.006703944397351121	0.0	0.0	0.0	0.0008165028857287554	0.0	0.0009499747904358006	0.0	0.0	0.0	0.0	0.0002490400204637644	0.0005277581398748514	0.0	0.0009903690281905916	0.00045397594951403637	0.0	0.0394691446167092	0.0	0.0	0.0	0.0002144860827287454	0.0	0.0019323777330807952	0.0022309887558345344	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010812502100030619	0.03147285986940255	0.0	0.0	0.0	0.0	0.0	0.00040563326204138455	0.0023669534431722413	0.0	0.006813625136470594	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01602045719875066	0.013872014228210256	0.0	0.0	0.0	0.008194693510196631	0.0	0.0	0.0	0.0	0.0	0.006833089634381949	0.11089023050579103	0.0	0.0	0.0	0.0	0.016623114234262576	0.0	0.0	0.0	0.002793230860628138	0.00031838766568220944	0.0	0.0	0.0	0.011956412163909658	0.0	0.0	0.0	0.008964893655688437	0.0	0.0	0.0	0.0037942520298543804	0.0007666800435448207	0.013472785690670782	0.0	0.0	0.0006244566001279578	0.0	0.015625022318988997	0.0017479516282029321	0.0	0.0	0.00577466565725906	0.02379064823429109	0.0	0.0	0.0	0.0	0.0	0.0	0.0011919799059378984	0.00532926598481147	0.08050592736015114	0.0	0.0	0.04129920992205775	0.0	0.0
